Nb_lieu, Nb_herd, Nb_attacker, Nb_Defender, Nb_joueur, tps_snf, tps_dtransfo, tps_ctransfo, tps_tbmtransfo, nb_equi
3, 2, 1, 1, 6, 23655.06, 182.58, 7.12, 4.38, 16
3, 2, 1, 1, 6, 21547.82, 46.54, 5.68, 3.92, 14
3, 2, 1, 1, 6, 398.92, 19.7, 5.18, 3.62, 28
3, 2, 1, 1, 6.98, 1197.64, 41.52, 5.56, 3.88, 17
3, 2, 1, 1, 6.54, 972.54, 35.64, 5.14, 3.98, 18
3, 2, 1, 1, 6.66, 576.26, 37.68, 5.32, 3.72, 23
3, 2, 1, 1, 6.26, 550.16, 53.4, 5.22, 3.7, 22
3, 2, 1, 1, 6.82, 21338.18, 33.14, 6.14, 3.78, 16
3, 2, 1, 1, 6.38, 456.84, 19.98, 5.84, 4.38, 18
3, 2, 1, 1, 6.48, 579.4, 49.8, 5.54, 4.02, 19
3, 2, 1, 1, 6.58, 24095.54, 51.06, 6.08, 4.28, 17
