Nb_lieu, Nb_herd, Nb_attacker, Nb_Defender, Nb_joueur_moy, tps_dtransfo, tps_ctransfo, tps_tbmtransfo, nb_equi
3, 2, 2, 1, 9, 29.0, 41.0, 13.0, false
3, 2, 2, 1, 11, 319.0, 295.0, 16.0, false
3, 2, 2, 1, 11, 46.0, 97.0, 12.0, true
3, 2, 2, 1, 8, 47.0, 41.0, 9.0, true
3, 2, 2, 1, 9, 16.0, 20.0, 12.0, true
3, 2, 2, 1, 14, 4471.0, 120.0, 14.0, true
3, 2, 2, 1, 14, 908.0, 86.0, 13.0, true
3, 2, 2, 1, 10, 10.0, 9.0, 9.0, false
3, 2, 2, 1, 7, 20.0, 21.0, 5.0, true
3, 2, 2, 1, 14, 4346.0, 107.0, 14.0, true
