Nb_lieu, Nb_herd, Nb_attacker, Nb_Defender, Nb_joueur_moy, tps_dtransfo, tps_ctransfo, tps_tbmtransfo, nb_equi
3, 2, 2, 1, 9, 233.0, 167.0, 11.0, false
3, 2, 2, 1, 9, 38.0, 35.0, 10.0, true
3, 2, 2, 1, 11, 837.0, 25.0, 14.0, true
3, 2, 2, 1, 9, 42.0, 52.0, 11.0, false
3, 2, 2, 1, 11, 773.0, 84.0, 14.0, false
3, 2, 2, 1, 11, 20803.0, 26.0, 14.0, false
3, 2, 2, 1, 11, 16999.0, 237.0, 13.0, false
3, 2, 2, 1, 11, 1452.0, 95.0, 13.0, false
3, 2, 2, 1, 7, 32.0, 35.0, 11.0, false
3, 2, 2, 1, 9, 317.0, 10.0, 11.0, true
3, 2, 2, 1, 8, 12.0, 14.0, 9.0, true
3, 2, 2, 1, 11, 54.0, 51.0, 12.0, false
3, 2, 2, 1, 5, 3.0, 4.0, 4.0, true
3, 2, 2, 1, 7, 14.0, 16.0, 10.0, false
3, 2, 2, 1, 11, 436.0, 235.0, 15.0, false
3, 2, 2, 1, 8, 10.0, 10.0, 7.0, true
3, 2, 2, 1, 11, 55.0, 45.0, 11.0, false
3, 2, 2, 1, 8, 7.0, 7.0, 7.0, false
3, 2, 2, 1, 11, 15547.0, 39.0, 20.0, true
3, 2, 2, 1, 9, 1313.0, 971.0, 11.0, false
3, 2, 2, 1, 6, 9.0, 10.0, 8.0, true
3, 2, 2, 1, 11, 1483.0, 102.0, 13.0, true
3, 2, 2, 1, 9, 250026.0, 749657.0, 11.0, false
3, 2, 2, 1, 9, 151.0, 11.0, 10.0, true
3, 2, 2, 1, 6, 8.0, 7.0, 7.0, false
3, 2, 2, 1, 9, 549.0, 10.0, 10.0, false
3, 2, 2, 1, 11, 270.0, 141.0, 13.0, false
3, 2, 2, 1, 8, 66.0, 91.0, 11.0, true
3, 2, 2, 1, 11, 16363.0, 232.0, 14.0, false
3, 2, 2, 1, 6, 8.0, 7.0, 7.0, false
3, 2, 2, 1, 9, 50.0, 61.0, 10.0, false
3, 2, 2, 1, 6, 6.0, 6.0, 6.0, false
3, 2, 2, 1, 11, 80.0, 53.0, 13.0, true
3, 2, 2, 1, 11, 51.0, 49.0, 10.0, false
3, 2, 2, 1, 10, 7.0, 8.0, 5.0, true
3, 2, 2, 1, 7, 5.0, 5.0, 5.0, true
3, 2, 2, 1, 8, 32.0, 40.0, 7.0, true
3, 2, 2, 1, 11, 21434.0, 143.0, 11.0, true
3, 2, 2, 1, 9, 1349.0, 443.0, 13.0, false
3, 2, 2, 1, 8, 14.0, 18.0, 8.0, true
3, 2, 2, 1, 8, 8.0, 7.0, 6.0, true
3, 2, 2, 1, 11, 48.0, 42.0, 12.0, false
3, 2, 2, 1, 8, 26.0, 27.0, 9.0, false
3, 2, 2, 1, 11, 22702.0, 218.0, 14.0, true
3, 2, 2, 1, 8, 31.0, 32.0, 10.0, true
3, 2, 2, 1, 7, 39.0, 39.0, 10.0, true
3, 2, 2, 1, 11, 876.0, 23.0, 15.0, true
3, 2, 2, 1, 11, 139.0, 69.0, 17.0, true
3, 2, 2, 1, 11, 419.0, 464.0, 18.0, true
3, 2, 2, 1, 10, 18.0, 19.0, 10.0, false
