Nb_lieu, Nb_herd, Nb_attacker, Nb_Defender, Nb_joueur_moy, tps_dtransfo, tps_ctransfo, nb_equi
3, 2, 2, 1, 7, 11.0, 7.0, true
3, 2, 2, 1, 11, 2829.0, 118.0, true
3, 2, 2, 1, 11, 11716.0, 204.0, false
3, 2, 2, 1, 8, 18.0, 18.0, true
3, 2, 2, 1, 7, 8.0, 6.0, true
3, 2, 2, 1, 9, 59.0, 60.0, false
3, 2, 2, 1, 11, 825.0, 75.0, true
3, 2, 2, 1, 11, 219.0, 212.0, true
3, 2, 2, 1, 11, 31.0, 33.0, true
3, 2, 2, 1, 10, 15.0, 17.0, true
3, 2, 2, 1, 8, 7.0, 6.0, true
3, 2, 2, 1, 11, 12804.0, 194.0, false
3, 2, 2, 1, 8, 11.0, 15.0, true
3, 2, 2, 1, 9, 84.0, 80.0, false
3, 2, 2, 1, 11, 78.0, 45.0, true
3, 2, 2, 1, 11, 72.0, 89.0, false
3, 2, 2, 1, 7, 7.0, 7.0, false
3, 2, 2, 1, 11, 14134.0, 23.0, true
3, 2, 2, 1, 7, 8.0, 7.0, true
3, 2, 2, 1, 9, 1004.0, 971.0, false
3, 2, 2, 1, 8, 16.0, 19.0, false
3, 2, 2, 1, 7, 25.0, 25.0, true
3, 2, 2, 1, 11, 270.0, 269.0, true
3, 2, 2, 1, 8, 11.0, 15.0, true
3, 2, 2, 1, 10, 15.0, 16.0, true
3, 2, 2, 1, 11, 154.0, 65.0, true
3, 2, 2, 1, 10, 12.0, 14.0, true
3, 2, 2, 1, 9, 13.0, 15.0, true
3, 2, 2, 1, 11, 1132.0, 94.0, true
3, 2, 2, 1, 9, 118.0, 108.0, true
3, 2, 2, 1, 9, 8.0, 8.0, false
3, 2, 2, 1, 11, 8866.0, 113.0, false
3, 2, 2, 1, 9, 329.0, 10.0, true
3, 2, 2, 1, 6, 8.0, 7.0, false
